skill,cnt
machine learning,181
research,81
natural language processing,78
deep learning,75
statistics,66
recommendations,47
optimization,41
prediction,35
neural network,33
classification,31
cleaning,29
visualization,26
computer vision,21
etl,17
supervised,17
probability,16
segmentation,14
reinforcement,14
data mining,12
clustering,9
bandit,8
a/b testing,8
graph,8
regression,7
forecasting,6
time series,6
bayesian,5
decision tree,4
dashboard,4
tuning,4
chatbot,4
convolutional neural network,4
logistic,4
kpi,3
sequencing,3
bayes,3
lstm,3
causality,3
normalization,3
unsupervised,2
experimental design,2
recurrent neural network,2
support vector machine,2
exploratory,2
anomaly,2
text analytics,2
nothing specified,2
